YEAR,LocationDesc,TopicDesc,MeasureDesc,Response,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Gender,Race,Age,Education
2015,Tennessee,Cigarette Use (Adults),Current Smoking,,21.9,,,Overall,All Races,All Ages,All Grades
2014,Tennessee,Cigarette Use (Adults),Current Smoking,,24.2,,,Overall,All Races,All Ages,All Grades
2013,Tennessee,Cigarette Use (Adults),Current Smoking,,24.3,,,Overall,All Races,All Ages,All Grades
2012,Tennessee,Cigarette Use (Adults),Current Smoking,,24.9,,,Overall,All Races,All Ages,All Grades
2011,Tennessee,Cigarette Use (Adults),Current Smoking,,23,,,Overall,All Races,All Ages,All Grades
2016,Texas,Cigarette Use (Adults),Current Smoking,,14.3,,,Overall,All Races,All Ages,All Grades
2015,Texas,Cigarette Use (Adults),Current Smoking,,15.2,,,Overall,All Races,All Ages,All Grades
2014,Texas,Cigarette Use (Adults),Current Smoking,,14.5,,,Overall,All Races,All Ages,All Grades
2013,Texas,Cigarette Use (Adults),Current Smoking,,15.9,,,Overall,All Races,All Ages,All Grades
2012,Texas,Cigarette Use (Adults),Current Smoking,,18.2,,,Overall,All Races,All Ages,All Grades
2011,Texas,Cigarette Use (Adults),Current Smoking,,19.2,,,Overall,All Races,All Ages,All Grades
2016,Utah,Cigarette Use (Adults),Current Smoking,,8.8,,,Overall,All Races,All Ages,All Grades
2015,Utah,Cigarette Use (Adults),Current Smoking,,9.1,,,Overall,All Races,All Ages,All Grades
2014,Utah,Cigarette Use (Adults),Current Smoking,,9.7,,,Overall,All Races,All Ages,All Grades
2013,Utah,Cigarette Use (Adults),Current Smoking,,10.3,,,Overall,All Races,All Ages,All Grades
2012,Utah,Cigarette Use (Adults),Current Smoking,,10.6,,,Overall,All Races,All Ages,All Grades
2011,Utah,Cigarette Use (Adults),Current Smoking,,11.8,,,Overall,All Races,All Ages,All Grades
2016,Vermont,Cigarette Use (Adults),Current Smoking,,17,,,Overall,All Races,All Ages,All Grades
2015,Vermont,Cigarette Use (Adults),Current Smoking,,16,,,Overall,All Races,All Ages,All Grades
2014,Vermont,Cigarette Use (Adults),Current Smoking,,16.4,,,Overall,All Races,All Ages,All Grades
2013,Vermont,Cigarette Use (Adults),Current Smoking,,16.6,,,Overall,All Races,All Ages,All Grades
2012,Vermont,Cigarette Use (Adults),Current Smoking,,16.5,,,Overall,All Races,All Ages,All Grades
2011,Vermont,Cigarette Use (Adults),Current Smoking,,19.1,,,Overall,All Races,All Ages,All Grades
2016,Virginia,Cigarette Use (Adults),Current Smoking,,15.3,,,Overall,All Races,All Ages,All Grades
2015,Virginia,Cigarette Use (Adults),Current Smoking,,16.5,,,Overall,All Races,All Ages,All Grades
2014,Virginia,Cigarette Use (Adults),Current Smoking,,19.5,,,Overall,All Races,All Ages,All Grades
2013,Virginia,Cigarette Use (Adults),Current Smoking,,19,,,Overall,All Races,All Ages,All Grades
2012,Virginia,Cigarette Use (Adults),Current Smoking,,19,,,Overall,All Races,All Ages,All Grades
2011,Virginia,Cigarette Use (Adults),Current Smoking,,20.9,,,Overall,All Races,All Ages,All Grades
2016,Washington,Cigarette Use (Adults),Current Smoking,,13.9,,,Overall,All Races,All Ages,All Grades
2015,Washington,Cigarette Use (Adults),Current Smoking,,15,,,Overall,All Races,All Ages,All Grades
2014,Washington,Cigarette Use (Adults),Current Smoking,,15.3,,,Overall,All Races,All Ages,All Grades
2013,Washington,Cigarette Use (Adults),Current Smoking,,16.1,,,Overall,All Races,All Ages,All Grades
2012,Washington,Cigarette Use (Adults),Current Smoking,,17.2,,,Overall,All Races,All Ages,All Grades
2011,Washington,Cigarette Use (Adults),Current Smoking,,17.5,,,Overall,All Races,All Ages,All Grades
2016,West Virginia,Cigarette Use (Adults),Current Smoking,,24.8,,,Overall,All Races,All Ages,All Grades
2015,West Virginia,Cigarette Use (Adults),Current Smoking,,25.7,,,Overall,All Races,All Ages,All Grades
2014,West Virginia,Cigarette Use (Adults),Current Smoking,,26.7,,,Overall,All Races,All Ages,All Grades
2013,West Virginia,Cigarette Use (Adults),Current Smoking,,27.3,,,Overall,All Races,All Ages,All Grades
2012,West Virginia,Cigarette Use (Adults),Current Smoking,,28.2,,,Overall,All Races,All Ages,All Grades
2011,West Virginia,Cigarette Use (Adults),Current Smoking,,28.6,,,Overall,All Races,All Ages,All Grades
2016,Wisconsin,Cigarette Use (Adults),Current Smoking,,17.1,,,Overall,All Races,All Ages,All Grades
2015,Wisconsin,Cigarette Use (Adults),Current Smoking,,17.3,,,Overall,All Races,All Ages,All Grades
2014,Wisconsin,Cigarette Use (Adults),Current Smoking,,17.4,,,Overall,All Races,All Ages,All Grades
2013,Wisconsin,Cigarette Use (Adults),Current Smoking,,18.7,,,Overall,All Races,All Ages,All Grades
2012,Wisconsin,Cigarette Use (Adults),Current Smoking,,20.4,,,Overall,All Races,All Ages,All Grades
2011,Wisconsin,Cigarette Use (Adults),Current Smoking,,20.9,,,Overall,All Races,All Ages,All Grades
2016,Wyoming,Cigarette Use (Adults),Current Smoking,,18.9,,,Overall,All Races,All Ages,All Grades
2015,Wyoming,Cigarette Use (Adults),Current Smoking,,19.1,,,Overall,All Races,All Ages,All Grades
2014,Wyoming,Cigarette Use (Adults),Current Smoking,,19.5,,,Overall,All Races,All Ages,All Grades
2013,Wyoming,Cigarette Use (Adults),Current Smoking,,20.6,,,Overall,All Races,All Ages,All Grades
2012,Wyoming,Cigarette Use (Adults),Current Smoking,,21.8,,,Overall,All Races,All Ages,All Grades
2011,Wyoming,Cigarette Use (Adults),Current Smoking,,23,,,Overall,All Races,All Ages,All Grades
